City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Dossor,KZ,47.5272,52.9811,27.88,86,66,7.36,broken clouds
330,Katsuura,JP,35.1333,140.3,42.91,81,90,10.71,overcast clouds
331,Metro,ID,-5.1131,105.3067,75.06,93,100,2.53,light rain
332,Faya,SA,18.3851,42.4509,52.32,66,25,3.65,scattered clouds
333,Antofagasta,CL,-23.65,-70.4,72.21,61,4,9.35,clear sky
334,Tambacounda,SN,13.7539,-13.7586,86.04,9,50,8.03,scattered clouds
335,Nyagan,RU,62.1406,65.3936,2.14,97,81,5.19,broken clouds
336,Buluang,PH,13.3068,123.3425,71.49,91,76,3.91,broken clouds
337,Ugoofaaru,MV,5.6667,73.0,81.97,66,93,13.22,overcast clouds
338,Zhanaozen,KZ,43.3,52.8,32.61,59,100,13.04,overcast clouds
339,Laguna,US,38.421,-121.4238,74.43,53,0,1.01,clear sky
340,La Paz,BO,-16.5,-68.15,62.58,41,40,9.22,scattered clouds
341,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,21,0,17.27,clear sky
342,Petrovsk-Zabaykalskiy,RU,51.273,108.843,-4.7,100,96,1.48,overcast clouds
343,Avera,US,33.194,-82.5271,53.74,42,100,4.12,overcast clouds
344,Susanville,US,40.4163,-120.653,51.91,40,0,4.61,clear sky
